fixture_id,team_id,team_name,file0,player_id,player_name,cards_red,cards_yellow,dribbles_attempts,dribbles_past,dribbles_success,duels_total,duels_won,fouls_committed,fouls_drawn,games_captain,games_minutes,games_number,games_position,games_rating,games_substitute,goals_assists,goals_conceded,goals_saves,goals_total,offsides,passes_accuracy,passes_key,passes_total,penalty_commited,penalty_missed,penalty_saved,penalty_scored,penalty_won,shots_on,shots_total,tackles_blocks,tackles_interceptions,tackles_total,fix-team,season,fixture_status_long,fixture_status_short,date,referee,team_away_name,team_away_id,team_away_goals,team_home_name,team_home_id,team_home_goals,round_league,country,name_league,result
828394,2323,Universidad de Chile,statistics_fixture_players_828394.json,51130.0,Pablo Aránguiz,0.0,1.0,1.0,,,3.0,,2.0,,0.0,17.0,8.0,M,6.6,1.0,1.0,0.0,,,,3,1.0,5.0,,0.0,,0.0,,,,,,,828394-2323,2022,Match Finished,FT,2022-02-06,M. Vergara,Universidad de Chile,2323,4.0,Union La Calera,2326,2.0,Regular Season - 1,Chile,Primera División,Triunfo
828402,2323,Universidad de Chile,statistics_fixture_players_828402.json,51130.0,Pablo Aránguiz,0.0,0.0,1.0,,,7.0,2.0,2.0,1.0,0.0,32.0,8.0,M,6.3,1.0,,0.0,,,,3,,5.0,,0.0,,0.0,,,,,,1.0,828402-2323,2022,Match Finished,FT,2022-02-12,M. Quila,Antofagasta,2327,1.0,Universidad de Chile,2323,2.0,Regular Season - 2,Chile,Primera División,Triunfo
828408,2323,Universidad de Chile,statistics_fixture_players_828408.json,51130.0,Pablo Aránguiz,0.0,0.0,1.0,2.0,,6.0,3.0,,1.0,0.0,59.0,8.0,M,7.2,0.0,,0.0,,,,13,,19.0,,0.0,,0.0,,1.0,1.0,1.0,,2.0,828408-2323,2022,Match Finished,FT,2022-02-21,F. Vejar,Universidad de Chile,2323,2.0,Nublense,2337,3.0,Regular Season - 3,Chile,Primera División,Derrota
828420,2323,Universidad de Chile,statistics_fixture_players_828420.json,51130.0,Pablo Aránguiz,0.0,1.0,,,,1.0,,,,0.0,25.0,8.0,M,6.6,1.0,,0.0,,,,13,,18.0,,0.0,,0.0,,,,,1.0,,828420-2323,2022,Match Finished,FT,2022-02-28,C. Garay,O'Higgins,2320,1.0,Universidad de Chile,2323,0.0,Regular Season - 4,Chile,Primera División,Derrota
828422,2323,Universidad de Chile,statistics_fixture_players_828422.json,51130.0,Pablo Aránguiz,0.0,0.0,,2.0,,4.0,,1.0,,0.0,27.0,8.0,M,6.5,1.0,,0.0,,,,5,1.0,10.0,,0.0,,0.0,,1.0,1.0,,,,828422-2323,2022,Match Finished,FT,2022-03-06,R. Tobar,Universidad de Chile,2323,1.0,Colo Colo,2315,4.0,Regular Season - 5,Chile,Primera División,Derrota
828441,2323,Universidad de Chile,statistics_fixture_players_828441.json,51130.0,Pablo Aránguiz,1.0,0.0,,,,1.0,,1.0,,0.0,21.0,8.0,M,6.2,1.0,,0.0,,,,2,,3.0,,0.0,,0.0,,,,,,,828441-2323,2022,Match Finished,FT,2022-03-17,J. Cabero,Curico Unido,2316,1.0,Universidad de Chile,2323,1.0,Regular Season - 7,Chile,Primera División,Empate
828462,2323,Universidad de Chile,statistics_fixture_players_828462.json,51130.0,Pablo Aránguiz,0.0,0.0,,,,3.0,2.0,,1.0,0.0,19.0,8.0,M,7.0,1.0,,0.0,,,,3,2.0,9.0,,0.0,,0.0,,,,,,1.0,828462-2323,2022,Match Finished,FT,2022-04-16,F. Vejar,Palestino,2318,0.0,Universidad de Chile,2323,0.0,Regular Season - 10,Chile,Primera División,Empate
828464,2323,Universidad de Chile,statistics_fixture_players_828464.json,51130.0,Pablo Aránguiz,0.0,0.0,,,,,,,,0.0,10.0,8.0,M,6.5,1.0,,0.0,,,,2,,4.0,,0.0,,0.0,,,,,,,828464-2323,2022,Match Finished,FT,2022-04-29,M. Vergara,Universidad de Chile,2323,0.0,A. Italiano,2329,2.0,Regular Season - 11,Chile,Primera División,Derrota
828474,2323,Universidad de Chile,statistics_fixture_players_828474.json,51130.0,Pablo Aránguiz,0.0,0.0,,,,,,,,0.0,0.0,8.0,M,,1.0,,0.0,,,,nan,,,,0.0,,0.0,,,,,,,828474-2323,2022,Match Finished,FT,2022-05-07,C. Garay,D. La Serena,2341,0.0,Universidad de Chile,2323,2.0,Regular Season - 12,Chile,Primera División,Triunfo
828478,2323,Universidad de Chile,statistics_fixture_players_828478.json,51130.0,Pablo Aránguiz,0.0,1.0,,1.0,,3.0,1.0,1.0,1.0,0.0,18.0,8.0,M,6.6,1.0,,0.0,,,,8,2.0,14.0,,0.0,,0.0,,,,,,,828478-2323,2022,Match Finished,FT,2022-05-14,H. Jona,Universidad de Chile,2323,1.0,Everton de Vina,2325,2.0,Regular Season - 13,Chile,Primera División,Derrota
